           1           1           1           1           1  -1.3600134681099999E-02
           1           1           1           1           2   -0.0000000000000000E+00
           1           1           1           1           3   3.5979449872099997E-18
           1           1           1           2           1   6.9207586837999996E-04
           1           1           1           2           2   -0.0000000000000000E+00
           1           1           1           2           3   -0.0000000000000000E+00
           1           1           2           1           1   -0.0000000000000000E+00
           1           1           2           1           2  -1.3600134681099999E-02
           1           1           2           1           3  -1.0279842820600000E-18
           1           1           2           2           1   -0.0000000000000000E+00
           1           1           2           2           2   1.1786357195650000E-03
           1           1           2           2           3   -0.0000000000000000E+00
           1           1           3           1           1   3.5979449872099997E-18
           1           1           3           1           2  -1.0279842820600000E-18
           1           1           3           1           3  -1.3600134681099999E-02
           1           1           3           2           1   -0.0000000000000000E+00
           1           1           3           2           2   -0.0000000000000000E+00
           1           1           3           2           3   1.1786357195650000E-03
           1           2           1           1           1   6.9207586837999996E-04
           1           2           1           1           2   -0.0000000000000000E+00
           1           2           1           1           3   -0.0000000000000000E+00
           1           2           1           2           1  -1.4869814290449999E-02
           1           2           1           2           2   -0.0000000000000000E+00
           1           2           1           2           3   -0.0000000000000000E+00
           1           2           2           1           1   -0.0000000000000000E+00
           1           2           2           1           2   1.1786357195650000E-03
           1           2           2           1           3   -0.0000000000000000E+00
           1           2           2           2           1   -0.0000000000000000E+00
           1           2           2           2           2  -1.4869814290449999E-02
           1           2           2           2           3   -0.0000000000000000E+00
           1           2           3           1           1   -0.0000000000000000E+00
           1           2           3           1           2   -0.0000000000000000E+00
           1           2           3           1           3   1.1786357195650000E-03
           1           2           3           2           1   -0.0000000000000000E+00
           1           2           3           2           2   -0.0000000000000000E+00
           1           2           3           2           3  -1.4869814290449999E-02
           2           1           1           1           1  -2.9501993942049998E-04
           2           1           1           1           2   -0.0000000000000000E+00
           2           1           1           1           3   2.6763106896600000E-03
           2           1           1           2           1  -4.2282342845899998E-05
           2           1           1           2           2   -0.0000000000000000E+00
           2           1           1           2           3  -5.4682947522499996E-04
           2           1           2           1           1   -0.0000000000000000E+00
           2           1           2           1           2  -3.9036525068200000E-04
           2           1           2           1           3   5.1399214102999998E-19
           2           1           2           2           1   -0.0000000000000000E+00
           2           1           2           2           2   2.8918906348750001E-04
           2           1           2           2           3   -0.0000000000000000E+00
           2           1           3           1           1   2.6763106896600000E-03
           2           1           3           1           2   5.1399214102999998E-19
           2           1           3           1           3  -2.9501993942049998E-04
           2           1           3           2           1  -5.4682947522499996E-04
           2           1           3           2           2   -0.0000000000000000E+00
           2           1           3           2           3  -4.2282354207149999E-05
           2           2           1           1           1   1.1786357703400000E-03
           2           2           1           1           2   -0.0000000000000000E+00
           2           2           1           1           3   1.8770217376299999E-11
           2           2           1           2           1   8.1937064676000000E-05
           2           2           1           2           2   -0.0000000000000000E+00
           2           2           1           2           3   2.0215358912799999E-04
           2           2           2           1           1   -0.0000000000000000E+00
           2           2           2           1           2   1.1786357703400000E-03
           2           2           2           1           3   -0.0000000000000000E+00
           2           2           2           2           1   -0.0000000000000000E+00
           2           2           2           2           2  -1.9480821889900001E-04
           2           2           2           2           3   -0.0000000000000000E+00
           2           2           3           1           1   1.8770217376299999E-11
           2           2           3           1           2   -0.0000000000000000E+00
           2           2           3           1           3   6.9207593052000003E-04
           2           2           3           2           1   2.0215358912799999E-04
           2           2           3           2           2   -0.0000000000000000E+00
           2           2           3           2           3   8.1937064676000000E-05
           3           1           1           1           1  -2.9501993942049998E-04
           3           1           1           1           2   -0.0000000000000000E+00
           3           1           1           1           3   2.6763106896600000E-03
           3           1           1           2           1   1.1786357703400000E-03
           3           1           1           2           2   -0.0000000000000000E+00
           3           1           1           2           3   1.8770217376299999E-11
           3           1           2           1           1   -0.0000000000000000E+00
           3           1           2           1           2  -3.9036525068200000E-04
           3           1           2           1           3   5.1399214102999998E-19
           3           1           2           2           1   -0.0000000000000000E+00
           3           1           2           2           2   1.1786357703400000E-03
           3           1           2           2           3   -0.0000000000000000E+00
           3           1           3           1           1   2.6763106896600000E-03
           3           1           3           1           2   5.1399214102999998E-19
           3           1           3           1           3  -2.9501993942049998E-04
           3           1           3           2           1   1.8770217376299999E-11
           3           1           3           2           2   -0.0000000000000000E+00
           3           1           3           2           3   6.9207593052000003E-04
           3           2           1           1           1  -4.2282342845899998E-05
           3           2           1           1           2   -0.0000000000000000E+00
           3           2           1           1           3  -5.4682947522499996E-04
           3           2           1           2           1   8.1937064676000000E-05
           3           2           1           2           2   -0.0000000000000000E+00
           3           2           1           2           3   2.0215358912799999E-04
           3           2           2           1           1   -0.0000000000000000E+00
           3           2           2           1           2   2.8918906348750001E-04
           3           2           2           1           3   -0.0000000000000000E+00
           3           2           2           2           1   -0.0000000000000000E+00
           3           2           2           2           2  -1.9480821889900001E-04
           3           2           2           2           3   -0.0000000000000000E+00
           3           2           3           1           1  -5.4682947522499996E-04
           3           2           3           1           2   -0.0000000000000000E+00
           3           2           3           1           3  -4.2282354207149999E-05
           3           2           3           2           1   2.0215358912799999E-04
           3           2           3           2           2   -0.0000000000000000E+00
           3           2           3           2           3   8.1937064676000000E-05
           4           1           1           1           1  -2.9501993942049998E-04
           4           1           1           1           2  -2.6763106896600000E-03
           4           1           1           1           3   3.7264430224699998E-18
           4           1           1           2           1  -4.2282342845899998E-05
           4           1           1           2           2   5.4682947522499996E-04
           4           1           1           2           3   -0.0000000000000000E+00
           4           1           2           1           1  -2.6763106896600000E-03
           4           1           2           1           2  -2.9501993942049998E-04
           4           1           2           1           3   6.0394076570999997E-18
           4           1           2           2           1   5.4682947522499996E-04
