# # Free energy [meV] +- error; FC gradient +- error; Structure gradient +- error; Kong-Liu effective sample size
-4.767924507295381278e+06 4.129530535922139589e-01 1.708537762845982434e+04 2.697371262025044416e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.618340209761418009e+02
-4.767925185637393966e+06 4.671011120710327758e-01 1.682178408166535155e+04 2.882254675488927091e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.203528768557976605e+02
-4.767925718369506299e+06 5.253112940643538398e-01 1.665285889135916295e+04 3.082260438726934808e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.795353241498359580e+02
-4.767926137034402229e+06 5.819363696827271060e-01 1.654642008863283263e+04 3.277290856052279082e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.433041015217460199e+02
-4.767926465387183242e+06 6.333101382120451817e-01 1.648034734422175097e+04 3.454932044327914014e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.131316065986341641e+02
-4.767926759731158614e+06 6.843461275231923491e-01 1.643472538570555844e+04 3.633018731016907168e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.854255876940271719e+02
-4.767927062127197161e+06 7.415873943383544109e-01 1.640165565297562352e+04 3.834508751312732215e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.569625761741136216e+02
-4.767927333675817586e+06 7.968658374260135790e-01 1.638416236091267274e+04 4.031272516453352068e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.319234483016959700e+02
-4.767927577172465622e+06 8.498394859692678383e-01 1.637843784270018659e+04 4.220103167541846005e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.102579044823577306e+02
-4.767927795140746981e+06 8.993597105487564081e-01 1.638136201624229579e+04 4.398714142859140566e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.917221372164287061e+02
-4.767928018402080983e+06 9.519324815186188671e-01 1.639223078855179119e+04 4.590566010731122901e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.737469999078803369e+02
-4.767928247351469472e+06 1.007901849368627589e+00 1.641162430799836147e+04 4.796131123029707624e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.564998295332742657e+02
-4.767928452375752851e+06 1.059518488534351377e+00 1.643605156831352724e+04 4.987340968290955061e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.421366963749833587e+02
-4.767928662349185906e+06 1.113207323452971576e+00 1.646788135246272213e+04 5.189557701780593106e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.285198277650792704e+02
-4.767928877558591776e+06 1.169644104985988253e+00 1.650754854626641827e+04 5.402923674798328193e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.157114092867255266e+02
-4.767929070130731910e+06 1.220737497486586109e+00 1.654899787249610017e+04 5.598596020553783319e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.052128996789261635e+02
-4.767929267121409997e+06 1.273389686293587841e+00 1.659706336152826407e+04 5.802809333979364510e+02 0.000000000000000000e+00 0.000000000000000000e+00 9.538276503464251732e+01
# # Free energy [meV] +- error; FC gradient +- error; Structure gradient +- error; Kong-Liu effective sample size
-4.767932458253378980e+06 4.409669713658763146e-01 1.347326715513933596e+04 2.283023898501977271e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.639846876996376750e+02
-4.767933168001502752e+06 4.760621715353632322e-01 1.310304512212407462e+04 2.399594697968607306e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.215751448440803983e+02
-4.767933711054148152e+06 5.098249538972392525e-01 1.283376994460554124e+04 2.521112428544361990e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.825117379859394191e+02
-4.767934186115763150e+06 5.443082271220264223e-01 1.260678830666705107e+04 2.651652364037106508e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.452483390976263991e+02
-4.767934600903756917e+06 5.782613261238206404e-01 1.241419861823881001e+04 2.784750937500741657e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.115294967756672122e+02
-4.767934962562420405e+06 6.108532624909229769e-01 1.224984580959630694e+04 2.915648874102456602e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.820269999520539272e+02
-4.767935277594372630e+06 6.413542661339631801e-01 1.210890110849069788e+04 3.041070426728646225e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.567490529766045597e+02
-4.767935591702828184e+06 6.735061154250326920e-01 1.196998008550978193e+04 3.176721763010372683e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.323116726299119250e+02
-4.767935864856895991e+06 7.030846074981758065e-01 1.185012999374111132e+04 3.303302684809210632e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.119153505544346956e+02
-4.767936136794394813e+06 7.338229189021737708e-01 1.173136400229808714e+04 3.437228623331504309e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.925687272834475721e+02
-4.767936407257371582e+06 7.652851158010681720e-01 1.161345182442644182e+04 3.578189810664874813e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.743950839624143896e+02
-4.767936675976930186e+06 7.980281904826398431e-01 1.149615440999210296e+04 3.725814551645117945e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.574751189692647131e+02
-4.767936942673525773e+06 8.312844265719597781e-01 1.137922551279507570e+04 3.879669793121084922e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.418500696444572498e+02
-4.767937173617796972e+06 8.608358763070025343e-01 1.127725994915221963e+04 4.018721274734561462e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.292722436684561842e+02
